date,model,is_sft,is_best,task,dataset_variant,num_samples,num_keypoints,oks_score,oks_confidence_weighted,f1_score,precision,recall,mae_total,mae_x,mae_y,euclidean_distance,pck_50,pck_100,pck_150,per_keypoint_accuracy,left_right_confusion,exact_match,error_detection_acc,accuracy,parse_rate,correct_count,timestamp,result_file,json_path
2026-02-12,qwen3-vl-4b-4epochs-task2-v7-step987,True,False,task2,visualized_cropped_v7,4399,25,,,,,,,,,,,,,0.022140,0.026000,0.000000,,,,,20260212_145952,task2_visualized_cropped_v7_test_step987_20260212_145952,/mnt/data/sgsilva/vlm-evaluation/results/final/task2_visualized_cropped_v7_test_step987_20260212_145952.json
2026-02-12,qwen3-vl-4b-instruct,False,True,task2,visualized_cropped_v8_baseline,4399,25,,,,,,,,,,,,,0.203917,0.272798,0.000909,,,,,20260212_170349,task2_visualized_cropped_v8_baseline_4b,/mnt/data/sgsilva/vlm-evaluation/results/final/task2_visualized_cropped_v8_baseline_4b.json
2026-02-12,qwen3-vl-4b-4epochs-task2-v8-step329,True,False,task2,visualized_cropped_v8,1850,25,,,,,,,,,,,,,0.060492,0.061138,0.000000,,,,,20260212_164702,task2_visualized_cropped_v8_test_step329_20260212_164702,/mnt/data/sgsilva/vlm-evaluation/results/final/task2_visualized_cropped_v8_test_step329_20260212_164702.json
2026-02-12,qwen3-vl-4b-4epochs-task2-v8-step658,True,True,task2,visualized_cropped_v8,600,25,,,,,,,,,,,,,0.063655,0.066417,0.000000,,,,,20260212_164923,task2_visualized_cropped_v8_test_step658_20260212_164923,/mnt/data/sgsilva/vlm-evaluation/results/final/task2_visualized_cropped_v8_test_step658_20260212_164923.json
2026-02-12,qwen3-vl-4b-instruct,False,True,task2,visualized_cropped_v9_baseline,2000,25,,,,,,,,,,,,,0.211000,0.320000,0.192000,,,,,20260212_172021,task2_visualized_cropped_v9_baseline_4b,/mnt/data/sgsilva/vlm-evaluation/results/final/task2_visualized_cropped_v9_baseline_4b.json
2026-02-11,qwen3-vl-4b-4epochs-task2-v5-step332,True,False,task2,visualized_v5,4399,25,,,,,,,,,,,,,0.043146,0.041304,0.000000,,,,,20260211_181936,task2_visualized_v5_test_step332_20260211_181936,/mnt/data/sgsilva/vlm-evaluation/results/final/task2_visualized_v5_test_step332_20260211_181936.json
2026-02-11,qwen3-vl-4b-instruct,False,True,task2,visualized_v5,4399,25,,,,,,,,,,,,,0.078040,0.095314,0.000000,,,,,20260211_152106,task2_visualized_v5_test_4b_baseline,/mnt/data/sgsilva/vlm-evaluation/results/final/task2_visualized_v5_test_4b_baseline.json
2026-02-18,qwen3-vl-4b-instruct,False,True,task3a,baseline_mixed_final,4399,25,,,0.000000,0.508297,0.000000,,,,,,,,,0.000000,,0.491703,,,,20260218_180758,task3a_baseline_mixed_final_20260218_180758,/mnt/data/sgsilva/vlm-evaluation/results/final/task3a_baseline_mixed_final_20260218_180758.json
2026-02-18,qwen3-vl-4b-4epochs-mixed-final-a-step1125,True,False,task3a,mixed_final_a,4399,25,,,0.044822,0.046677,0.045635,,,,,,,,,0.012829,,0.491703,,,,20260218_180619,task3a_mixed_final_a_test_step1125_20260218_180619,/mnt/data/sgsilva/vlm-evaluation/results/final/task3a_mixed_final_a_test_step1125_20260218_180619.json
2026-02-19,qwen3-vl-4b-4epochs-mixed-final-a-step2250,True,True,task3a,mixed_final_a,4399,25,,,0.508297,0.508297,0.508297,,,,,,,,,0.000000,,0.508297,,,,20260219_102428,task3a_mixed_final_a_test_step2250_20260219_102428,/mnt/data/sgsilva/vlm-evaluation/results/final/task3a_mixed_final_a_test_step2250_20260219_102428.json
2026-02-19,qwen3-vl-4b-4epochs-mixed-final-a-step4500,True,False,task3a,mixed_final_a,4399,25,,,0.081747,0.081622,0.082576,,,,,,,,,0.002543,,0.492839,,,,20260219_131242,task3a_mixed_final_a_test_step4500_20260219_131242,/mnt/data/sgsilva/vlm-evaluation/results/final/task3a_mixed_final_a_test_step4500_20260219_131242.json
2026-01-07,qwen3-vl-4b-instruct,False,False,task3a,v1_high_error,4399,25,,,0.071910,0.183155,0.052929,,,,,,,,,0.000000,,0.795863,,,,20260107_214044,task3a_v1_high_error_4b_20260107_214044,/mnt/data/sgsilva/vlm-evaluation/results/final/task3a_v1_high_error_4b_20260107_214044.json
2026-01-15,gemini-3-pro-preview,False,True,task3a,v1_high_error,100,25,,,0.460980,0.512151,0.490833,,,,,,,,,0.000000,,0.850000,,,,20260115_210858,task3a_v1_high_error_test100_gemini3_20260115_210858,/mnt/data/sgsilva/vlm-evaluation/results/final/task3a_v1_high_error_test100_gemini3_20260115_210858.json
2026-01-20,qwen3-vl-4b-4epochs-task3a-high-step646,True,False,task3a,v1_high_error,4399,25,,,0.192510,0.191882,0.193661,,,,,,,,,0.000000,,0.795863,,,,20260120_162042,task3a_v1_high_error_test_step646_20260120_162042,/mnt/data/sgsilva/vlm-evaluation/results/final/task3a_v1_high_error_test_step646_20260120_162042.json
2026-01-20,qwen3-vl-4b-4epochs-task3a-high-step969,True,False,task3a,v1_high_error,4399,25,,,0.191759,0.191669,0.192354,,,,,,,,,0.000000,,0.795863,,,,20260120_173840,task3a_v1_high_error_test_step969_20260120_173840,/mnt/data/sgsilva/vlm-evaluation/results/final/task3a_v1_high_error_test_step969_20260120_173840.json
2026-01-20,qwen3-vl-4b-4epochs-task3a-high-step1292,True,False,task3a,v1_high_error,4399,25,,,0.192046,0.192673,0.191881,,,,,,,,,0.000000,,0.795863,,,,20260120_163201,task3a_v1_high_error_test_step1292_20260120_163201,/mnt/data/sgsilva/vlm-evaluation/results/final/task3a_v1_high_error_test_step1292_20260120_163201.json
